Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-01-22 00:00:00-05:00,0.04011878256394706,0.044775311584014724,0.03558146497740723,0.0376117043197155,2714688000,0.0,0.0
1999-01-25 00:00:00-05:00,0.0405965399745699,0.04202889452409068,0.037611703930043774,0.04155205562710762,510480000,0.0,0.0
1999-01-26 00:00:00-05:00,0.042028885256321334,0.042865189292153286,0.037730903626219066,0.03832787275314331,343200000,0.0,0.0
1999-01-27 00:00:00-05:00,0.03844709036978854,0.03940260605087674,0.036297642968090835,0.038208670914173126,244368000,0.0,0.0
1999-01-28 00:00:00-05:00,0.03820866841914826,0.038447087859194894,0.03785012203787199,0.038088541477918625,227520000,0.0,0.0
1999-01-29 00:00:00-05:00,0.03808855044690544,0.03820867741642224,0.03629764914512634,0.03629764914512634,244032000,0.0,0.0
1999-02-01 00:00:00-05:00,0.03629764122502475,0.03725315344413374,0.03629764122502475,0.037014733999967575,154704000,0.0,0.0
1999-02-02 00:00:00-05:00,0.03629763390974933,0.03725314593628837,0.03307437570871562,0.03414909914135933,264096000,0.0,0.0
1999-02-03 00:00:00-05:00,0.03367135803583386,0.035343047835133624,0.03343201961680943,0.03486528992652893,75120000,0.0,0.0
1999-02-04 00:00:00-05:00,0.035343048221894324,0.03773091886160421,0.0348652903080615,0.03677540645003319,181920000,0.0,0.0
1999-02-05 00:00:00-05:00,0.03737237243514007,0.038208676809407295,0.03641777553607995,0.03785013034939766,136848000,0.0,0.0
1999-02-08 00:00:00-05:00,0.03808854655398507,0.03820867351122404,0.03653698042035103,0.03653698042035103,154080000,0.0,0.0
1999-02-09 00:00:00-05:00,0.03725315990200788,0.037491582803598836,0.034625954330499496,0.03510371223092079,86976000,0.0,0.0
1999-02-10 00:00:00-05:00,0.03510370780286747,0.03605922006708527,0.034149107635773994,0.03474607691168785,148224000,0.0,0.0
1999-02-11 00:00:00-05:00,0.034865288896991725,0.039163272088630484,0.034865288896991725,0.03773091733455658,132240000,0.0,0.0
1999-02-12 00:00:00-05:00,0.03820866139657757,0.040118773353640905,0.03820866139657757,0.03988035395741463,109728000,0.0,0.0
1999-02-16 00:00:00-05:00,0.04059654532693522,0.04226823847463416,0.03605922377309622,0.04011878743767738,211008000,0.0,0.0
1999-02-17 00:00:00-05:00,0.03916327884164575,0.03964103681852365,0.037253165863709636,0.03796934336423874,67728000,0.0,0.0
1999-02-18 00:00:00-05:00,0.03916326459634018,0.03964102239943773,0.03749157516621321,0.03856629878282547,70704000,0.0,0.0
1999-02-19 00:00:00-05:00,0.03820866139657757,0.040596531075177834,0.037730903675040645,0.03988035395741463,75360000,0.0,0.0
1999-02-22 00:00:00-05:00,0.04059654532693522,0.041074303216193056,0.0379693364007206,0.04011878743767738,205248000,0.0,0.0
1999-02-23 00:00:00-05:00,0.041074307023586325,0.04286520836920882,0.03868643628535983,0.04202890396118164,138096000,0.0,0.0
1999-02-24 00:00:00-05:00,0.04823792118693986,0.05014894958222009,0.04429756844593769,0.04537229239940643,612768000,0.0,0.0
1999-02-25 00:00:00-05:00,0.04728331617869666,0.048715674383961,0.04322283685678458,0.04393993318080902,149136000,0.0,0.0
1999-02-26 00:00:00-05:00,0.044417688359493265,0.04585004306070766,0.041552060027681345,0.04190969094634056,172608000,0.0,0.0
1999-03-01 00:00:00-05:00,0.042984410943522754,0.04393992661310804,0.04011878286406909,0.04214902222156525,92160000,0.0,0.0
1999-03-02 00:00:00-05:00,0.04202889739628425,0.04226823579041762,0.04107430060779658,0.04179047793149948,55248000,0.0,0.0
1999-03-03 00:00:00-05:00,0.042028890232774625,0.042028890232774625,0.03868642364874328,0.038924843072891235,61392000,0.0,0.0
